Entity,Code,Year,Average total years of schooling for adult population (years)
Afghanistan,AFG,2013,3.5
Albania,ALB,2013,9.7
Algeria,DZA,2013,7.8
Andorra,AND,2013,10.2
Angola,AGO,2013,4.9
Antigua and Barbuda,ATG,2013,9.2
Argentina,ARG,2013,9.8
Armenia,ARM,2013,11.4
Australia,AUS,2013,12.6
Austria,AUT,2013,11.9
Azerbaijan,AZE,2013,10.8
Bahamas,BHS,2013,11.1
Bahrain,BHR,2013,9.0
Bangladesh,BGD,2013,5.1
Barbados,BRB,2013,10.5
Belarus,BLR,2013,12.0
Belgium,BEL,2013,11.4
Belize,BLZ,2013,10.5
Benin,BEN,2013,3.2
Bhutan,BTN,2013,2.8
Bolivia,BOL,2013,8.4
Bosnia and Herzegovina,BIH,2013,8.7
Botswana,BWA,2013,9.1
Brazil,BRA,2013,7.4
Brunei,BRN,2013,8.9
Bulgaria,BGR,2013,10.9
Burkina Faso,BFA,2013,1.4
Burundi,BDI,2013,2.8
Cambodia,KHM,2013,4.6
Cameroon,CMR,2013,5.9
Canada,CAN,2013,12.9
Cape Verde,CPV,2013,5.6
Central African Republic,CAF,2013,4.0
Chad,TCD,2013,2.1
Chile,CHL,2013,9.9
China,CHN,2013,7.5
Colombia,COL,2013,7.8
Comoros,COM,2013,4.7
Congo,COG,2013,6.3
Costa Rica,CRI,2013,8.5
Cote d'Ivoire,CIV,2013,4.7
Croatia,HRV,2013,11.0
Cuba,CUB,2013,11.0
Cyprus,CYP,2013,12.0
Czech Republic,CZE,2013,12.6
Democratic Republic of Congo,COD,2013,6.0
Denmark,DNK,2013,13.2
Djibouti,DJI,2013,4.0
Dominica,DMA,2013,7.9
Dominican Republic,DOM,2013,7.6
Ecuador,ECU,2013,8.3
Egypt,EGY,2013,6.9
El Salvador,SLV,2013,6.6
Equatorial Guinea,GNQ,2013,5.5
Eritrea,ERI,2013,3.9
Estonia,EST,2013,12.6
Ethiopia,ETH,2013,2.5
Fiji,FJI,2013,10.3
Finland,FIN,2013,12.3
France,FRA,2013,11.2
Gabon,GAB,2013,8.1
Gambia,GMB,2013,3.2
Georgia,GEO,2013,12.6
Germany,DEU,2013,14.0
Ghana,GHA,2013,6.9
Greece,GRC,2013,10.4
Grenada,GRD,2013,8.5
Guatemala,GTM,2013,4.7
Guinea,GIN,2013,2.6
Guinea-Bissau,GNB,2013,2.8
Guyana,GUY,2013,8.3
Haiti,HTI,2013,5.0
Honduras,HND,2013,5.8
Hong Kong,HKG,2013,11.6
Hungary,HUN,2013,12.0
Iceland,ISL,2013,11.9
India,IND,2013,5.8
Indonesia,IDN,2013,7.8
Iran,IRN,2013,9.8
Iraq,IRQ,2013,6.6
Ireland,IRL,2013,11.8
Israel,ISR,2013,12.8
Italy,ITA,2013,10.3
Jamaica,JAM,2013,9.4
Japan,JPN,2013,12.2
Jordan,JOR,2013,9.9
Kazakhstan,KAZ,2013,11.6
Kenya,KEN,2013,6.3
Kiribati,KIR,2013,7.9
Kuwait,KWT,2013,6.7
Kyrgyzstan,KGZ,2013,10.7
Laos,LAO,2013,5.1
Latvia,LVA,2013,12.7
Lebanon,LBN,2013,8.3
Lesotho,LSO,2013,6.0
Liberia,LBR,2013,4.4
Libya,LBY,2013,7.3
Liechtenstein,LIE,2013,12.4
Lithuania,LTU,2013,11.9
Luxembourg,LUX,2013,11.8
Macedonia,MKD,2013,9.4
Madagascar,MDG,2013,6.1
Malawi,MWI,2013,4.4
Malaysia,MYS,2013,10.1
Maldives,MDV,2013,5.7
Mali,MLI,2013,2.2
Malta,MLT,2013,11.0
Marshall Islands,MHL,2013,10.8
Mauritania,MRT,2013,4.1
Mauritius,MUS,2013,8.9
Mexico,MEX,2013,8.4
Micronesia (country),FSM,2013,8.0
Moldova,MDA,2013,11.6
Mongolia,MNG,2013,10.0
Montenegro,MNE,2013,11.2
Morocco,MAR,2013,4.8
Mozambique,MOZ,2013,3.4
Myanmar,MMR,2013,4.7
Namibia,NAM,2013,6.6
Nepal,NPL,2013,4.2
Netherlands,NLD,2013,12.1
New Zealand,NZL,2013,12.1
Nicaragua,NIC,2013,6.4
Niger,NER,2013,1.7
Nigeria,NGA,2013,5.9
Norway,NOR,2013,12.7
Oman,OMN,2013,8.9
Pakistan,PAK,2013,4.9
Palau,PLW,2013,12.2
Palestine,PSE,2013,8.9
Panama,PAN,2013,9.7
Papua New Guinea,PNG,2013,4.3
Paraguay,PRY,2013,8.3
Peru,PER,2013,8.8
Philippines,PHL,2013,9.1
Poland,POL,2013,12.1
Portugal,PRT,2013,8.6
Qatar,QAT,2013,9.9
Romania,ROU,2013,10.9
Russia,RUS,2013,11.8
Rwanda,RWA,2013,3.8
Saint Kitts and Nevis,KNA,2013,8.3
Saint Lucia,LCA,2013,8.4
Saint Vincent and the Grenadines,VCT,2013,8.6
Samoa,WSM,2013,10.3
Sao Tome and Principe,STP,2013,5.2
Saudi Arabia,SAU,2013,9.5
Senegal,SEN,2013,2.8
Serbia,SRB,2013,10.4
Seychelles,SYC,2013,9.1
Sierra Leone,SLE,2013,3.3
Singapore,SGP,2013,11.4
Slovakia,SVK,2013,12.2
Slovenia,SVN,2013,11.7
Solomon Islands,SLB,2013,5.3
South Africa,ZAF,2013,9.9
South Korea,KOR,2013,12.0
South Sudan,SSD,2013,4.8
Spain,ESP,2013,9.5
Sri Lanka,LKA,2013,10.9
Sudan,SDN,2013,3.4
Suriname,SUR,2013,8.1
Swaziland,SWZ,2013,6.3
Sweden,SWE,2013,12.2
Switzerland,CHE,2013,13.4
Syria,SYR,2013,6.3
Tajikistan,TJK,2013,10.7
Tanzania,TZA,2013,5.5
Thailand,THA,2013,7.5
Timor,TLS,2013,4.5
Togo,TGO,2013,4.5
Tonga,TON,2013,11.0
Trinidad and Tobago,TTO,2013,10.8
Tunisia,TUN,2013,6.8
Turkey,TUR,2013,7.7
Turkmenistan,TKM,2013,9.8
Uganda,UGA,2013,5.4
Ukraine,UKR,2013,11.3
United Arab Emirates,ARE,2013,10.3
United Kingdom,GBR,2013,12.6
United States,USA,2013,13.2
Uruguay,URY,2013,8.5
Uzbekistan,UZB,2013,11.3
Vanuatu,VUT,2013,6.8
Venezuela,VEN,2013,9.9
Vietnam,VNM,2013,7.9
Yemen,YEM,2013,3.0
Zambia,ZMB,2013,6.8
Zimbabwe,ZWE,2013,8.0
