Entity,Year,Average years of schooling (years),Expected Years of Schooling (years)
Afghanistan,2016,3.6,10.4
Albania,2016,10.0,14.8
Algeria,2016,8.0,14.3
American Samoa,2016,0.0,0.0
Andorra,2016,10.2,13.5
Angola,2016,5.1,11.4
Antigua and Barbuda,2016,9.2,13.2
Arab World,2016,0.0,0.0
Argentina,2016,9.9,17.4
Armenia,2016,11.7,13.0
Aruba,2016,0.0,0.0
Australia,2016,12.9,22.9
Austria,2016,12.1,16.1
Azerbaijan,2016,10.7,12.7
Bahamas,2016,11.1,12.8
Bahrain,2016,9.4,16.0
Bangladesh,2016,5.2,11.4
Barbados,2016,10.6,15.3
Belarus,2016,12.3,15.5
Belgium,2016,11.8,19.8
Belize,2016,10.5,12.8
Benin,2016,3.6,12.6
Bermuda,2016,0.0,0.0
Bhutan,2016,3.1,12.3
Bolivia,2016,8.9,13.9
Bosnia and Herzegovina,2016,9.7,14.2
Botswana,2016,9.3,12.6
Brazil,2016,7.8,15.4
British Virgin Islands,2016,0.0,0.0
Brunei,2016,9.1,14.5
Bulgaria,2016,11.8,14.8
Burkina Faso,2016,1.5,8.5
Burundi,2016,3.0,11.7
Cambodia,2016,4.7,11.7
Cameroon,2016,6.3,12.2
Canada,2016,13.1,16.4
Cape Verde,2016,6.1,12.6
Caribbean small states,2016,0.0,0.0
Cayman Islands,2016,0.0,0.0
Central African Republic,2016,4.3,7.2
Central Europe and the Baltics,2016,0.0,0.0
Chad,2016,2.3,8.0
Channel Islands,2016,0.0,0.0
Chile,2016,10.3,16.4
China,2016,7.8,13.8
Colombia,2016,8.3,14.4
Comoros,2016,4.8,11.2
Congo,2016,6.3,11.4
Costa Rica,2016,8.8,15.2
Cote d'Ivoire,2016,5.1,9.0
Croatia,2016,11.3,15.0
Cuba,2016,11.6,14.0
Curacao,2016,0.0,0.0
Cyprus,2016,12.1,14.6
Czech Republic,2016,12.7,16.9
Democratic Republic of Congo,2016,6.6,9.6
Denmark,2016,12.6,19.1
Djibouti,2016,4.1,6.2
Dominica,2016,7.8,12.8
Dominican Republic,2016,7.8,13.7
Early-demographic dividend,2016,0.0,0.0
East Asia & Pacific,2016,0.0,0.0
East Asia & Pacific (IDA & IBRD),2016,0.0,0.0
East Asia & Pacific (excluding high income),2016,0.0,0.0
Ecuador,2016,8.7,14.6
Egypt,2016,7.2,13.1
El Salvador,2016,6.9,12.6
Equatorial Guinea,2016,5.5,9.3
Eritrea,2016,3.9,5.4
Estonia,2016,12.6,16.1
Ethiopia,2016,2.7,8.5
Euro area,2016,0.0,0.0
Europe & Central Asia,2016,0.0,0.0
Europe & Central Asia (IDA & IBRD),2016,0.0,0.0
Europe & Central Asia (excluding high income),2016,0.0,0.0
European Union,2016,0.0,0.0
Faeroe Islands,2016,0.0,0.0
Fiji,2016,10.8,15.3
Finland,2016,12.4,17.6
Fragile and conflict affected situations,2016,0.0,0.0
France,2016,11.5,16.4
French Polynesia,2016,0.0,0.0
Gabon,2016,8.2,12.6
Gambia,2016,3.4,9.2
Georgia,2016,12.8,15.0
Germany,2016,14.1,17.0
Ghana,2016,7.1,11.6
Gibraltar,2016,0.0,0.0
Greece,2016,10.8,17.3
Greenland,2016,0.0,0.0
Grenada,2016,8.7,16.9
Guam,2016,0.0,0.0
Guatemala,2016,6.5,10.8
Guinea,2016,2.6,9.1
Guinea-Bissau,2016,3.0,10.5
Guyana,2016,8.4,11.4
Haiti,2016,5.2,9.2
Heavily indebted poor countries (HIPC),2016,0.0,0.0
High income,2016,0.0,0.0
Honduras,2016,6.5,10.2
Hong Kong,2016,12.0,16.3
Hungary,2016,11.9,15.1
IBRD only,2016,0.0,0.0
IDA & IBRD total,2016,0.0,0.0
IDA blend,2016,0.0,0.0
IDA only,2016,0.0,0.0
IDA total,2016,0.0,0.0
Iceland,2016,12.4,19.3
India,2016,6.4,12.3
Indonesia,2016,8.0,12.8
Iran,2016,9.8,14.9
Iraq,2016,6.7,10.1
Ireland,2016,12.5,19.6
Isle of Man,2016,0.0,0.0
Israel,2016,13.0,15.9
Italy,2016,10.2,16.3
Jamaica,2016,9.8,13.1
Japan,2016,12.7,15.2
Jordan,2016,10.4,13.1
Kazakhstan,2016,11.7,15.0
Kenya,2016,6.4,11.9
Kiribati,2016,7.9,12.9
Kosovo,2016,0.0,0.0
Kuwait,2016,7.2,13.6
Kyrgyzstan,2016,10.9,13.4
Laos,2016,5.2,11.2
Late-demographic dividend,2016,0.0,0.0
Latin America & Caribbean,2016,0.0,0.0
Latin America & Caribbean (IDA & IBRD),2016,0.0,0.0
Latin America & Caribbean (excluding high income),2016,0.0,0.0
Latvia,2016,12.8,15.8
Least developed countries: UN classification,2016,0.0,0.0
Lebanon,2016,8.6,12.5
Lesotho,2016,6.3,10.6
Liberia,2016,4.5,10.0
Libya,2016,7.3,13.4
Liechtenstein,2016,12.5,14.7
Lithuania,2016,13.0,16.1
Low & middle income,2016,0.0,0.0
Low income,2016,0.0,0.0
Lower middle income,2016,0.0,0.0
Luxembourg,2016,12.1,14.0
Macao,2016,0.0,0.0
Macedonia,2016,9.6,13.3
Madagascar,2016,6.1,10.6
Malawi,2016,4.5,10.8
Malaysia,2016,10.2,13.7
Maldives,2016,6.3,12.6
Mali,2016,2.3,7.5
Malta,2016,11.3,15.9
Marshall Islands,2016,10.8,0.0
Mauritania,2016,4.4,8.6
Mauritius,2016,9.3,15.1
Mexico,2016,8.6,14.1
Micronesia (country),2016,8.0,0.0
Micronesia (region),2016,0.0,11.8
Middle East & North Africa,2016,0.0,0.0
Middle East & North Africa (IDA & IBRD),2016,0.0,0.0
Middle East & North Africa (excluding high income),2016,0.0,0.0
Middle income,2016,0.0,0.0
Moldova,2016,11.6,11.6
Monaco,2016,0.0,0.0
Mongolia,2016,10.1,15.5
Montenegro,2016,11.3,14.9
Morocco,2016,5.4,12.4
Mozambique,2016,3.5,9.7
Myanmar,2016,4.9,10.0
Namibia,2016,6.8,12.3
Nauru,2016,0.0,10.3
Nepal,2016,4.9,12.2
Netherlands,2016,12.1,18.0
New Caledonia,2016,0.0,0.0
New Zealand,2016,12.5,18.9
Nicaragua,2016,6.7,12.1
Niger,2016,1.9,5.4
Nigeria,2016,6.2,10.0
North America,2016,0.0,0.0
North Korea,2016,0.0,12.0
Northern Mariana Islands,2016,0.0,0.0
Norway,2016,12.6,17.9
OECD members,2016,0.0,0.0
Oman,2016,9.5,13.9
Other small states,2016,0.0,0.0
Pacific island small states,2016,0.0,0.0
Pakistan,2016,5.2,8.6
Palau,2016,12.3,15.3
Palestine,2016,9.1,12.8
Panama,2016,10.0,12.7
Papua New Guinea,2016,4.6,9.9
Paraguay,2016,8.4,12.7
Peru,2016,9.2,13.8
Philippines,2016,9.3,12.6
Poland,2016,12.2,16.4
Portugal,2016,9.2,16.3
Post-demographic dividend,2016,0.0,0.0
Pre-demographic dividend,2016,0.0,0.0
Puerto Rico,2016,0.0,0.0
Qatar,2016,9.8,13.4
Romania,2016,11.0,14.3
Russia,2016,12.0,15.5
Rwanda,2016,4.1,11.2
Saint Kitts and Nevis,2016,8.4,14.2
Saint Lucia,2016,8.9,13.6
Saint Martin (French part),2016,0.0,0.0
Saint Vincent and the Grenadines,2016,8.6,13.3
Samoa,2016,10.3,12.5
San Marino,2016,0.0,15.1
Sao Tome and Principe,2016,6.0,12.5
Saudi Arabia,2016,9.5,16.9
Senegal,2016,2.9,9.5
Serbia,2016,11.1,14.6
Seychelles,2016,9.5,14.7
Sierra Leone,2016,3.4,9.7
Singapore,2016,11.5,16.1
Sint Maarten (Dutch part),2016,0.0,0.0
Slovakia,2016,12.5,15.0
Slovenia,2016,12.3,17.2
Small states,2016,0.0,0.0
Solomon Islands,2016,5.4,10.2
Somalia,2016,0.0,0.0
South Africa,2016,10.1,13.3
South Asia,2016,0.0,0.0
South Asia (IDA & IBRD),2016,0.0,0.0
South Korea,2016,12.1,16.5
South Sudan,2016,4.8,4.9
Spain,2016,9.8,17.9
Sri Lanka,2016,10.9,13.9
Sub-Saharan Africa,2016,0.0,0.0
Sub-Saharan Africa (IDA & IBRD),2016,0.0,0.0
Sub-Saharan Africa (excluding high income),2016,0.0,0.0
Sudan,2016,3.6,7.4
Suriname,2016,8.5,12.7
Swaziland,2016,6.5,11.2
Sweden,2016,12.4,17.6
Switzerland,2016,13.4,16.2
Syria,2016,5.1,8.8
Syrian Arab Republic,2016,0.0,0.0
Tajikistan,2016,10.5,11.2
Tanzania,2016,5.8,8.9
Thailand,2016,7.6,14.3
Timor,2016,4.5,12.8
Togo,2016,4.8,12.4
Tonga,2016,11.2,14.3
Trinidad and Tobago,2016,10.9,12.9
Tunisia,2016,7.1,15.1
Turkey,2016,8.0,15.2
Turkmenistan,2016,9.8,10.9
Turks and Caicos Islands,2016,0.0,0.0
Tuvalu,2016,0.0,0.0
Uganda,2016,5.7,11.3
Ukraine,2016,11.3,15.0
United Arab Emirates,2016,10.8,13.6
United Kingdom,2016,12.9,17.4
United States,2016,13.4,16.5
United States Virgin Islands,2016,0.0,0.0
Upper middle income,2016,0.0,0.0
Uruguay,2016,8.7,15.9
Uzbekistan,2016,11.4,11.8
Vanuatu,2016,6.8,10.9
Venezuela,2016,10.1,14.3
Vietnam,2016,8.1,12.7
World,2016,0.0,0.0
Yemen,2016,3.0,9.0
Zambia,2016,7.0,12.5
Zimbabwe,2016,8.2,10.3
