Entity,Code,Year,Average total years of schooling for adult population (years)
Afghanistan,AFG,2010,3.2
Albania,ALB,2010,9.3
Algeria,DZA,2010,7.1
Andorra,AND,2010,10.1
Angola,AGO,2010,4.7
Antigua and Barbuda,ATG,2010,9.2
Argentina,ARG,2010,9.8
Armenia,ARM,2010,11.1
Australia,AUS,2010,12.4
Austria,AUT,2010,11.8
Azerbaijan,AZE,2010,10.7
Bahamas,BHS,2010,10.9
Bahrain,BHR,2010,8.4
Bangladesh,BGD,2010,4.9
Barbados,BRB,2010,9.4
Belarus,BLR,2010,12.0
Belgium,BEL,2010,11.1
Belize,BLZ,2010,10.5
Benin,BEN,2010,2.8
Bhutan,BTN,2010,2.3
Bolivia,BOL,2010,7.8
Bosnia and Herzegovina,BIH,2010,7.1
Botswana,BWA,2010,8.9
Brazil,BRA,2010,6.9
Brunei,BRN,2010,8.8
Bulgaria,BGR,2010,10.6
Burkina Faso,BFA,2010,1.4
Burundi,BDI,2010,2.6
Cambodia,KHM,2010,4.4
Cameroon,CMR,2010,5.3
Canada,CAN,2010,12.6
Cape Verde,CPV,2010,5.1
Central African Republic,CAF,2010,3.6
Chad,TCD,2010,1.9
Chile,CHL,2010,9.8
China,CHN,2010,7.3
Colombia,COL,2010,7.4
Comoros,COM,2010,4.2
Congo,COG,2010,6.1
Costa Rica,CRI,2010,8.3
Cote d'Ivoire,CIV,2010,4.2
Croatia,HRV,2010,10.8
Cuba,CUB,2010,11.0
Cyprus,CYP,2010,11.5
Czech Republic,CZE,2010,12.4
Democratic Republic of Congo,COD,2010,5.4
Denmark,DNK,2010,12.7
Djibouti,DJI,2010,4.0
Dominica,DMA,2010,7.8
Dominican Republic,DOM,2010,7.3
Ecuador,ECU,2010,7.9
Egypt,EGY,2010,6.5
El Salvador,SLV,2010,7.1
Equatorial Guinea,GNQ,2010,5.5
Eritrea,ERI,2010,3.9
Estonia,EST,2010,12.5
Ethiopia,ETH,2010,2.3
Fiji,FJI,2010,9.6
Finland,FIN,2010,12.3
France,FRA,2010,10.9
Gabon,GAB,2010,7.6
Gambia,GMB,2010,2.8
Georgia,GEO,2010,12.2
Germany,DEU,2010,13.8
Ghana,GHA,2010,6.7
Greece,GRC,2010,10.3
Grenada,GRD,2010,8.3
Guatemala,GTM,2010,4.9
Guinea,GIN,2010,1.6
Guinea-Bissau,GNB,2010,2.6
Guyana,GUY,2010,8.1
Haiti,HTI,2010,4.7
Honduras,HND,2010,5.4
Hong Kong,HKG,2010,11.5
Hungary,HUN,2010,11.9
Iceland,ISL,2010,10.6
India,IND,2010,5.4
Indonesia,IDN,2010,7.4
Iran,IRN,2010,9.0
Iraq,IRQ,2010,6.4
Ireland,IRL,2010,12.2
Israel,ISR,2010,12.6
Italy,ITA,2010,9.7
Jamaica,JAM,2010,8.9
Japan,JPN,2010,11.5
Jordan,JOR,2010,9.8
Kazakhstan,KAZ,2010,11.4
Kenya,KEN,2010,6.1
Kiribati,KIR,2010,7.9
Kuwait,KWT,2010,6.8
Kyrgyzstan,KGZ,2010,10.6
Laos,LAO,2010,4.6
Latvia,LVA,2010,12.5
Lebanon,LBN,2010,7.9
Lesotho,LSO,2010,5.6
Liberia,LBR,2010,4.1
Libya,LBY,2010,7.3
Liechtenstein,LIE,2010,12.1
Lithuania,LTU,2010,11.6
Luxembourg,LUX,2010,11.8
Macedonia,MKD,2010,9.1
Madagascar,MDG,2010,6.0
Malawi,MWI,2010,4.3
Malaysia,MYS,2010,9.8
Maldives,MDV,2010,4.9
Mali,MLI,2010,2.0
Malta,MLT,2010,10.3
Mauritania,MRT,2010,3.8
Mauritius,MUS,2010,8.2
Mexico,MEX,2010,8.0
Micronesia (country),FSM,2010,7.2
Moldova,MDA,2010,11.1
Mongolia,MNG,2010,9.5
Montenegro,MNE,2010,11.1
Morocco,MAR,2010,4.2
Mozambique,MOZ,2010,3.2
Myanmar,MMR,2010,4.1
Namibia,NAM,2010,6.2
Nepal,NPL,2010,3.3
Netherlands,NLD,2010,12.0
New Zealand,NZL,2010,12.0
Nicaragua,NIC,2010,6.0
Niger,NER,2010,1.4
Nigeria,NGA,2010,5.2
Norway,NOR,2010,12.7
Oman,OMN,2010,7.9
Pakistan,PAK,2010,4.7
Palau,PLW,2010,12.1
Palestine,PSE,2010,8.5
Panama,PAN,2010,9.3
Papua New Guinea,PNG,2010,4.0
Paraguay,PRY,2010,7.7
Peru,PER,2010,8.4
Philippines,PHL,2010,8.9
Poland,POL,2010,12.2
Portugal,PRT,2010,8.1
Qatar,QAT,2010,8.4
Romania,ROU,2010,10.7
Russia,RUS,2010,11.5
Rwanda,RWA,2010,3.8
Saint Kitts and Nevis,KNA,2010,7.8
Saint Lucia,LCA,2010,8.4
Saint Vincent and the Grenadines,VCT,2010,8.3
Samoa,WSM,2010,10.0
Sao Tome and Principe,STP,2010,4.9
Saudi Arabia,SAU,2010,8.9
Senegal,SEN,2010,2.4
Serbia,SRB,2010,10.4
Seychelles,SYC,2010,8.1
Sierra Leone,SLE,2010,3.1
Singapore,SGP,2010,11.2
Slovakia,SVK,2010,11.6
Slovenia,SVN,2010,12.1
Solomon Islands,SLB,2010,5.1
South Africa,ZAF,2010,10.0
South Korea,KOR,2010,11.8
South Sudan,SSD,2010,4.8
Spain,ESP,2010,9.4
Sri Lanka,LKA,2010,10.8
Sudan,SDN,2010,3.1
Suriname,SUR,2010,7.7
Swaziland,SWZ,2010,5.7
Sweden,SWE,2010,12.3
Switzerland,CHE,2010,13.3
Syria,SYR,2010,6.3
Tajikistan,TJK,2010,10.9
Tanzania,TZA,2010,5.1
Thailand,THA,2010,7.7
Timor,TLS,2010,4.4
Togo,TGO,2010,4.3
Tonga,TON,2010,10.7
Trinidad and Tobago,TTO,2010,10.7
Tunisia,TUN,2010,6.7
Turkey,TUR,2010,6.7
Turkmenistan,TKM,2010,9.9
Uganda,UGA,2010,5.7
Ukraine,UKR,2010,11.3
United Arab Emirates,ARE,2010,9.9
United Kingdom,GBR,2010,13.2
United States,USA,2010,13.2
Uruguay,URY,2010,8.4
Uzbekistan,UZB,2010,10.7
Vanuatu,VUT,2010,6.7
Venezuela,VEN,2010,8.9
Vietnam,VNM,2010,7.5
Yemen,YEM,2010,2.6
Zambia,ZMB,2010,6.6
Zimbabwe,ZWE,2010,7.3
