Entity,Year,Average years of schooling (years),Expected Years of Schooling (years)
Afghanistan,2011,3.3,9.8
Albania,2011,9.3,13.8
Algeria,2011,7.4,14.3
American Samoa,2011,0.0,0.0
Andorra,2011,10.2,11.7
Angola,2011,4.7,9.5
Antigua and Barbuda,2011,9.2,12.6
Arab World,2011,0.0,0.0
Argentina,2011,9.8,17.2
Armenia,2011,11.2,13.0
Aruba,2011,0.0,0.0
Australia,2011,12.5,20.1
Austria,2011,11.8,16.0
Azerbaijan,2011,10.7,11.8
Bahamas,2011,11.0,12.8
Bahrain,2011,8.6,13.6
Bangladesh,2011,5.1,9.8
Barbados,2011,9.9,15.3
Belarus,2011,12.0,15.6
Belgium,2011,11.2,19.1
Belize,2011,10.5,12.5
Benin,2011,2.8,11.4
Bermuda,2011,0.0,0.0
Bhutan,2011,2.3,11.9
Bolivia,2011,8.0,13.8
Bosnia and Herzegovina,2011,7.2,13.9
Botswana,2011,8.9,12.5
Brazil,2011,7.1,13.9
British Virgin Islands,2011,0.0,0.0
Brunei,2011,8.8,14.4
Bulgaria,2011,10.7,14.5
Burkina Faso,2011,1.4,7.2
Burundi,2011,2.6,11.0
Cambodia,2011,4.4,11.2
Cameroon,2011,5.5,10.9
Canada,2011,12.7,15.9
Cape Verde,2011,5.3,12.5
Caribbean small states,2011,0.0,0.0
Cayman Islands,2011,0.0,0.0
Central African Republic,2011,3.7,7.0
Central Europe and the Baltics,2011,0.0,0.0
Chad,2011,2.0,7.3
Channel Islands,2011,0.0,0.0
Chile,2011,9.8,15.3
China,2011,7.4,13.1
Colombia,2011,7.5,14.4
Comoros,2011,4.4,10.8
Congo,2011,6.2,10.6
Costa Rica,2011,8.4,13.6
Cote d'Ivoire,2011,4.4,8.6
Croatia,2011,11.0,14.5
Cuba,2011,11.3,15.7
Curacao,2011,0.0,0.0
Cyprus,2011,11.6,13.8
Czech Republic,2011,12.5,16.1
Democratic Republic of Congo,2011,5.6,9.1
Denmark,2011,12.7,18.4
Djibouti,2011,4.0,6.0
Dominica,2011,7.8,12.7
Dominican Republic,2011,7.4,13.1
Early-demographic dividend,2011,0.0,0.0
East Asia & Pacific,2011,0.0,0.0
East Asia & Pacific (IDA & IBRD),2011,0.0,0.0
East Asia & Pacific (excluding high income),2011,0.0,0.0
Ecuador,2011,8.0,13.3
Egypt,2011,6.7,12.0
El Salvador,2011,6.5,12.7
Equatorial Guinea,2011,5.5,9.2
Eritrea,2011,3.9,5.1
Estonia,2011,12.5,16.5
Ethiopia,2011,2.4,8.3
Euro area,2011,0.0,0.0
Europe & Central Asia,2011,0.0,0.0
Europe & Central Asia (IDA & IBRD),2011,0.0,0.0
Europe & Central Asia (excluding high income),2011,0.0,0.0
European Union,2011,0.0,0.0
Faeroe Islands,2011,0.0,0.0
Fiji,2011,9.8,15.2
Finland,2011,12.3,17.0
Fragile and conflict affected situations,2011,0.0,0.0
France,2011,10.9,16.1
French Polynesia,2011,0.0,0.0
Gabon,2011,7.7,12.5
Gambia,2011,2.9,8.8
Georgia,2011,12.2,13.4
Germany,2011,13.9,16.9
Ghana,2011,6.8,11.0
Gibraltar,2011,0.0,0.0
Greece,2011,10.3,16.3
Greenland,2011,0.0,0.0
Grenada,2011,8.4,16.1
Guam,2011,0.0,0.0
Guatemala,2011,5.3,10.6
Guinea,2011,2.0,8.7
Guinea-Bissau,2011,2.7,10.1
Guyana,2011,8.2,11.4
Haiti,2011,4.8,8.9
Heavily indebted poor countries (HIPC),2011,0.0,0.0
High income,2011,0.0,0.0
Honduras,2011,5.6,10.6
Hong Kong,2011,11.4,15.4
Hungary,2011,12.0,15.2
IBRD only,2011,0.0,0.0
IDA & IBRD total,2011,0.0,0.0
IDA blend,2011,0.0,0.0
IDA only,2011,0.0,0.0
IDA total,2011,0.0,0.0
Iceland,2011,11.0,18.5
India,2011,5.4,11.3
Indonesia,2011,7.6,12.5
Iran,2011,9.2,13.6
Iraq,2011,6.6,10.5
Ireland,2011,10.9,18.4
Isle of Man,2011,0.0,0.0
Israel,2011,12.7,15.9
Italy,2011,9.8,16.6
Jamaica,2011,9.0,12.8
Japan,2011,11.8,15.2
Jordan,2011,9.9,12.6
Kazakhstan,2011,11.5,14.7
Kenya,2011,6.2,10.9
Kiribati,2011,7.9,12.7
Kosovo,2011,0.0,0.0
Kuwait,2011,7.0,13.2
Kyrgyzstan,2011,10.6,12.3
Laos,2011,4.8,10.4
Late-demographic dividend,2011,0.0,0.0
Latin America & Caribbean,2011,0.0,0.0
Latin America & Caribbean (IDA & IBRD),2011,0.0,0.0
Latin America & Caribbean (excluding high income),2011,0.0,0.0
Latvia,2011,12.6,15.4
Least developed countries: UN classification,2011,0.0,0.0
Lebanon,2011,8.0,13.3
Lesotho,2011,5.8,11.0
Liberia,2011,4.2,9.6
Libya,2011,7.3,13.7
Liechtenstein,2011,12.2,14.8
Lithuania,2011,11.8,16.5
Low & middle income,2011,0.0,0.0
Low income,2011,0.0,0.0
Lower middle income,2011,0.0,0.0
Luxembourg,2011,11.8,13.9
Macao,2011,0.0,0.0
Macedonia,2011,9.3,12.9
Madagascar,2011,6.1,10.1
Malawi,2011,4.3,10.4
Malaysia,2011,10.1,12.9
Maldives,2011,5.2,12.2
Mali,2011,2.0,7.7
Malta,2011,10.5,14.9
Marshall Islands,2011,10.8,0.0
Mauritania,2011,3.9,7.7
Mauritius,2011,8.5,14.3
Mexico,2011,8.4,12.9
Micronesia (country),2011,7.4,0.0
Micronesia (region),2011,0.0,11.7
Middle East & North Africa,2011,0.0,0.0
Middle East & North Africa (IDA & IBRD),2011,0.0,0.0
Middle East & North Africa (excluding high income),2011,0.0,0.0
Middle income,2011,0.0,0.0
Moldova,2011,11.1,11.8
Monaco,2011,0.0,0.0
Mongolia,2011,9.8,14.7
Montenegro,2011,11.1,15.0
Morocco,2011,4.4,11.4
Mozambique,2011,3.2,9.3
Myanmar,2011,4.3,9.5
Namibia,2011,6.3,12.2
Nauru,2011,0.0,10.0
Nepal,2011,3.3,12.3
Netherlands,2011,12.0,17.9
New Caledonia,2011,0.0,0.0
New Zealand,2011,12.0,19.4
Nicaragua,2011,6.1,11.5
Niger,2011,1.5,5.0
Nigeria,2011,5.5,8.7
North America,2011,0.0,0.0
North Korea,2011,0.0,12.0
Northern Mariana Islands,2011,0.0,0.0
Norway,2011,12.8,17.6
OECD members,2011,0.0,0.0
Oman,2011,8.3,13.4
Other small states,2011,0.0,0.0
Pacific island small states,2011,0.0,0.0
Pakistan,2011,4.8,7.6
Palau,2011,12.2,14.2
Palestine,2011,8.7,13.3
Panama,2011,9.3,12.7
Papua New Guinea,2011,4.1,10.2
Paraguay,2011,7.8,12.4
Peru,2011,9.1,13.5
Philippines,2011,9.0,12.0
Poland,2011,12.3,15.2
Portugal,2011,8.3,16.1
Post-demographic dividend,2011,0.0,0.0
Pre-demographic dividend,2011,0.0,0.0
Puerto Rico,2011,0.0,0.0
Qatar,2011,8.7,13.4
Romania,2011,10.8,15.0
Russia,2011,11.6,14.3
Rwanda,2011,3.8,11.3
Saint Kitts and Nevis,2011,8.0,13.5
Saint Lucia,2011,8.4,13.4
Saint Martin (French part),2011,0.0,0.0
Saint Vincent and the Grenadines,2011,8.4,13.7
Samoa,2011,10.2,12.3
San Marino,2011,0.0,15.2
Sao Tome and Principe,2011,5.0,10.8
Saudi Arabia,2011,9.1,14.9
Senegal,2011,2.4,8.6
Serbia,2011,10.6,14.0
Seychelles,2011,8.4,12.3
Sierra Leone,2011,3.1,9.1
Singapore,2011,11.2,15.4
Sint Maarten (Dutch part),2011,0.0,0.0
Slovakia,2011,12.1,14.9
Slovenia,2011,12.2,16.9
Small states,2011,0.0,0.0
Solomon Islands,2011,5.2,9.7
Somalia,2011,0.0,0.0
South Africa,2011,9.9,12.8
South Asia,2011,0.0,0.0
South Asia (IDA & IBRD),2011,0.0,0.0
South Korea,2011,11.8,16.9
South Sudan,2011,4.8,4.9
Spain,2011,9.5,17.2
Sri Lanka,2011,10.8,13.7
Sub-Saharan Africa,2011,0.0,0.0
Sub-Saharan Africa (IDA & IBRD),2011,0.0,0.0
Sub-Saharan Africa (excluding high income),2011,0.0,0.0
Sudan,2011,3.2,6.9
Suriname,2011,7.8,12.5
Swaziland,2011,5.9,11.2
Sweden,2011,12.4,15.8
Switzerland,2011,13.3,15.7
Syria,2011,6.3,12.2
Syrian Arab Republic,2011,0.0,0.0
Tajikistan,2011,10.8,11.1
Tanzania,2011,5.1,8.8
Thailand,2011,7.5,13.5
Timor,2011,4.5,12.8
Togo,2011,4.4,11.9
Tonga,2011,10.9,14.4
Trinidad and Tobago,2011,10.8,12.6
Tunisia,2011,6.9,14.6
Turkey,2011,7.2,14.3
Turkmenistan,2011,9.9,10.7
Turks and Caicos Islands,2011,0.0,0.0
Tuvalu,2011,0.0,0.0
Uganda,2011,5.4,11.0
Ukraine,2011,11.3,14.8
United Arab Emirates,2011,10.0,13.5
United Kingdom,2011,13.0,15.8
United States,2011,13.3,16.7
United States Virgin Islands,2011,0.0,0.0
Upper middle income,2011,0.0,0.0
Uruguay,2011,8.4,15.2
Uzbekistan,2011,10.9,11.4
Vanuatu,2011,6.7,10.8
Venezuela,2011,9.8,14.1
Vietnam,2011,7.6,12.5
World,2011,0.0,0.0
Yemen,2011,2.8,9.0
Zambia,2011,6.7,12.3
Zimbabwe,2011,7.3,9.8
