Entity,Code,Year,Average total years of schooling for adult population (years)
Afghanistan,AFG,2016,3.6
Albania,ALB,2016,10.0
Algeria,DZA,2016,8.0
Andorra,AND,2016,10.2
Angola,AGO,2016,5.1
Antigua and Barbuda,ATG,2016,9.2
Argentina,ARG,2016,9.9
Armenia,ARM,2016,11.7
Australia,AUS,2016,12.9
Austria,AUT,2016,12.1
Azerbaijan,AZE,2016,10.7
Bahamas,BHS,2016,11.1
Bahrain,BHR,2016,9.4
Bangladesh,BGD,2016,5.2
Barbados,BRB,2016,10.6
Belarus,BLR,2016,12.3
Belgium,BEL,2016,11.8
Belize,BLZ,2016,10.5
Benin,BEN,2016,3.6
Bhutan,BTN,2016,3.1
Bolivia,BOL,2016,8.9
Bosnia and Herzegovina,BIH,2016,9.7
Botswana,BWA,2016,9.3
Brazil,BRA,2016,7.8
Brunei,BRN,2016,9.1
Bulgaria,BGR,2016,11.8
Burkina Faso,BFA,2016,1.5
Burundi,BDI,2016,3.0
Cambodia,KHM,2016,4.7
Cameroon,CMR,2016,6.3
Canada,CAN,2016,13.1
Cape Verde,CPV,2016,6.1
Central African Republic,CAF,2016,4.3
Chad,TCD,2016,2.3
Chile,CHL,2016,10.3
China,CHN,2016,7.8
Colombia,COL,2016,8.3
Comoros,COM,2016,4.8
Congo,COG,2016,6.3
Costa Rica,CRI,2016,8.8
Cote d'Ivoire,CIV,2016,5.1
Croatia,HRV,2016,11.3
Cuba,CUB,2016,11.6
Cyprus,CYP,2016,12.1
Czech Republic,CZE,2016,12.7
Democratic Republic of Congo,COD,2016,6.6
Denmark,DNK,2016,12.6
Djibouti,DJI,2016,4.1
Dominica,DMA,2016,7.8
Dominican Republic,DOM,2016,7.8
Ecuador,ECU,2016,8.7
Egypt,EGY,2016,7.2
El Salvador,SLV,2016,6.9
Equatorial Guinea,GNQ,2016,5.5
Eritrea,ERI,2016,3.9
Estonia,EST,2016,12.6
Ethiopia,ETH,2016,2.7
Fiji,FJI,2016,10.8
Finland,FIN,2016,12.4
France,FRA,2016,11.5
Gabon,GAB,2016,8.2
Gambia,GMB,2016,3.4
Georgia,GEO,2016,12.8
Germany,DEU,2016,14.1
Ghana,GHA,2016,7.1
Greece,GRC,2016,10.8
Grenada,GRD,2016,8.7
Guatemala,GTM,2016,6.5
Guinea,GIN,2016,2.6
Guinea-Bissau,GNB,2016,3.0
Guyana,GUY,2016,8.4
Haiti,HTI,2016,5.2
Honduras,HND,2016,6.5
Hong Kong,HKG,2016,12.0
Hungary,HUN,2016,11.9
Iceland,ISL,2016,12.4
India,IND,2016,6.4
Indonesia,IDN,2016,8.0
Iran,IRN,2016,9.8
Iraq,IRQ,2016,6.7
Ireland,IRL,2016,12.5
Israel,ISR,2016,13.0
Italy,ITA,2016,10.2
Jamaica,JAM,2016,9.8
Japan,JPN,2016,12.7
Jordan,JOR,2016,10.4
Kazakhstan,KAZ,2016,11.7
Kenya,KEN,2016,6.4
Kiribati,KIR,2016,7.9
Kuwait,KWT,2016,7.2
Kyrgyzstan,KGZ,2016,10.9
Laos,LAO,2016,5.2
Latvia,LVA,2016,12.8
Lebanon,LBN,2016,8.6
Lesotho,LSO,2016,6.3
Liberia,LBR,2016,4.5
Libya,LBY,2016,7.3
Liechtenstein,LIE,2016,12.5
Lithuania,LTU,2016,13.0
Luxembourg,LUX,2016,12.1
Macedonia,MKD,2016,9.6
Madagascar,MDG,2016,6.1
Malawi,MWI,2016,4.5
Malaysia,MYS,2016,10.2
Maldives,MDV,2016,6.3
Mali,MLI,2016,2.3
Malta,MLT,2016,11.3
Marshall Islands,MHL,2016,10.8
Mauritania,MRT,2016,4.4
Mauritius,MUS,2016,9.3
Mexico,MEX,2016,8.6
Micronesia (country),FSM,2016,8.0
Moldova,MDA,2016,11.6
Mongolia,MNG,2016,10.1
Montenegro,MNE,2016,11.3
Morocco,MAR,2016,5.4
Mozambique,MOZ,2016,3.5
Myanmar,MMR,2016,4.9
Namibia,NAM,2016,6.8
Nepal,NPL,2016,4.9
Netherlands,NLD,2016,12.1
New Zealand,NZL,2016,12.5
Nicaragua,NIC,2016,6.7
Niger,NER,2016,1.9
Nigeria,NGA,2016,6.2
Norway,NOR,2016,12.6
Oman,OMN,2016,9.5
Pakistan,PAK,2016,5.2
Palau,PLW,2016,12.3
Palestine,PSE,2016,9.1
Panama,PAN,2016,10.0
Papua New Guinea,PNG,2016,4.6
Paraguay,PRY,2016,8.4
Peru,PER,2016,9.2
Philippines,PHL,2016,9.3
Poland,POL,2016,12.2
Portugal,PRT,2016,9.2
Qatar,QAT,2016,9.8
Romania,ROU,2016,11.0
Russia,RUS,2016,12.0
Rwanda,RWA,2016,4.1
Saint Kitts and Nevis,KNA,2016,8.4
Saint Lucia,LCA,2016,8.9
Saint Vincent and the Grenadines,VCT,2016,8.6
Samoa,WSM,2016,10.3
Sao Tome and Principe,STP,2016,6.0
Saudi Arabia,SAU,2016,9.5
Senegal,SEN,2016,2.9
Serbia,SRB,2016,11.1
Seychelles,SYC,2016,9.5
Sierra Leone,SLE,2016,3.4
Singapore,SGP,2016,11.5
Slovakia,SVK,2016,12.5
Slovenia,SVN,2016,12.3
Solomon Islands,SLB,2016,5.4
South Africa,ZAF,2016,10.1
South Korea,KOR,2016,12.1
South Sudan,SSD,2016,4.8
Spain,ESP,2016,9.8
Sri Lanka,LKA,2016,10.9
Sudan,SDN,2016,3.6
Suriname,SUR,2016,8.5
Swaziland,SWZ,2016,6.5
Sweden,SWE,2016,12.4
Switzerland,CHE,2016,13.4
Syria,SYR,2016,5.1
Tajikistan,TJK,2016,10.5
Tanzania,TZA,2016,5.8
Thailand,THA,2016,7.6
Timor,TLS,2016,4.5
Togo,TGO,2016,4.8
Tonga,TON,2016,11.2
Trinidad and Tobago,TTO,2016,10.9
Tunisia,TUN,2016,7.1
Turkey,TUR,2016,8.0
Turkmenistan,TKM,2016,9.8
Uganda,UGA,2016,5.7
Ukraine,UKR,2016,11.3
United Arab Emirates,ARE,2016,10.8
United Kingdom,GBR,2016,12.9
United States,USA,2016,13.4
Uruguay,URY,2016,8.7
Uzbekistan,UZB,2016,11.4
Vanuatu,VUT,2016,6.8
Venezuela,VEN,2016,10.1
Vietnam,VNM,2016,8.1
Yemen,YEM,2016,3.0
Zambia,ZMB,2016,7.0
Zimbabwe,ZWE,2016,8.2
