Entity,Code,Year,Average total years of schooling for adult population (years)
Afghanistan,AFG,2015,3.6
Albania,ALB,2015,9.7
Algeria,DZA,2015,7.9
Andorra,AND,2015,10.2
Angola,AGO,2015,5.0
Antigua and Barbuda,ATG,2015,9.2
Argentina,ARG,2015,9.8
Armenia,ARM,2015,11.6
Australia,AUS,2015,12.8
Austria,AUT,2015,12.1
Azerbaijan,AZE,2015,10.7
Bahamas,BHS,2015,11.1
Bahrain,BHR,2015,9.3
Bangladesh,BGD,2015,5.2
Barbados,BRB,2015,10.5
Belarus,BLR,2015,12.2
Belgium,BEL,2015,11.7
Belize,BLZ,2015,10.5
Benin,BEN,2015,3.5
Bhutan,BTN,2015,3.1
Bolivia,BOL,2015,8.7
Bosnia and Herzegovina,BIH,2015,9.0
Botswana,BWA,2015,9.2
Brazil,BRA,2015,7.6
Brunei,BRN,2015,9.0
Bulgaria,BGR,2015,11.8
Burkina Faso,BFA,2015,1.4
Burundi,BDI,2015,2.9
Cambodia,KHM,2015,4.7
Cameroon,CMR,2015,6.1
Canada,CAN,2015,13.1
Cape Verde,CPV,2015,5.9
Central African Republic,CAF,2015,4.2
Chad,TCD,2015,2.3
Chile,CHL,2015,10.3
China,CHN,2015,7.7
Colombia,COL,2015,8.1
Comoros,COM,2015,4.8
Congo,COG,2015,6.3
Costa Rica,CRI,2015,8.8
Cote d'Ivoire,CIV,2015,5.0
Croatia,HRV,2015,11.2
Cuba,CUB,2015,11.4
Cyprus,CYP,2015,11.9
Czech Republic,CZE,2015,12.7
Democratic Republic of Congo,COD,2015,6.4
Denmark,DNK,2015,12.5
Djibouti,DJI,2015,4.1
Dominica,DMA,2015,7.9
Dominican Republic,DOM,2015,7.8
Ecuador,ECU,2015,8.4
Egypt,EGY,2015,7.1
El Salvador,SLV,2015,6.6
Equatorial Guinea,GNQ,2015,5.5
Eritrea,ERI,2015,3.9
Estonia,EST,2015,12.7
Ethiopia,ETH,2015,2.6
Fiji,FJI,2015,10.8
Finland,FIN,2015,12.4
France,FRA,2015,11.5
Gabon,GAB,2015,8.1
Gambia,GMB,2015,3.4
Georgia,GEO,2015,12.7
Germany,DEU,2015,14.1
Ghana,GHA,2015,6.9
Greece,GRC,2015,10.6
Grenada,GRD,2015,8.7
Guatemala,GTM,2015,6.3
Guinea,GIN,2015,2.6
Guinea-Bissau,GNB,2015,2.9
Guyana,GUY,2015,8.4
Haiti,HTI,2015,5.2
Honduras,HND,2015,6.3
Hong Kong,HKG,2015,12.0
Hungary,HUN,2015,11.8
Iceland,ISL,2015,12.2
India,IND,2015,6.3
Indonesia,IDN,2015,7.9
Iran,IRN,2015,9.8
Iraq,IRQ,2015,6.6
Ireland,IRL,2015,12.3
Israel,ISR,2015,13.0
Italy,ITA,2015,10.2
Jamaica,JAM,2015,9.6
Japan,JPN,2015,12.5
Jordan,JOR,2015,10.3
Kazakhstan,KAZ,2015,11.7
Kenya,KEN,2015,6.3
Kiribati,KIR,2015,7.9
Kuwait,KWT,2015,7.1
Kyrgyzstan,KGZ,2015,10.8
Laos,LAO,2015,5.1
Latvia,LVA,2015,12.8
Lebanon,LBN,2015,8.5
Lesotho,LSO,2015,6.1
Liberia,LBR,2015,4.4
Libya,LBY,2015,7.3
Liechtenstein,LIE,2015,12.4
Lithuania,LTU,2015,13.0
Luxembourg,LUX,2015,12.0
Macedonia,MKD,2015,9.6
Madagascar,MDG,2015,6.1
Malawi,MWI,2015,4.4
Malaysia,MYS,2015,10.2
Maldives,MDV,2015,6.3
Mali,MLI,2015,2.3
Malta,MLT,2015,11.2
Marshall Islands,MHL,2015,10.8
Mauritania,MRT,2015,4.3
Mauritius,MUS,2015,9.1
Mexico,MEX,2015,8.6
Micronesia (country),FSM,2015,8.0
Moldova,MDA,2015,11.6
Mongolia,MNG,2015,10.1
Montenegro,MNE,2015,11.3
Morocco,MAR,2015,5.0
Mozambique,MOZ,2015,3.5
Myanmar,MMR,2015,4.9
Namibia,NAM,2015,6.7
Nepal,NPL,2015,4.7
Netherlands,NLD,2015,12.1
New Zealand,NZL,2015,12.4
Nicaragua,NIC,2015,6.5
Niger,NER,2015,1.8
Nigeria,NGA,2015,6.0
Norway,NOR,2015,12.5
Oman,OMN,2015,9.5
Pakistan,PAK,2015,5.1
Palau,PLW,2015,12.2
Palestine,PSE,2015,9.0
Panama,PAN,2015,9.9
Papua New Guinea,PNG,2015,4.3
Paraguay,PRY,2015,8.5
Peru,PER,2015,9.1
