Entity,Year,Average years of schooling (years),Expected Years of Schooling (years)
Afghanistan,2017,3.8,10.4
Albania,2017,10.0,14.8
Algeria,2017,8.0,14.4
American Samoa,2017,0.0,0.0
Andorra,2017,10.2,13.5
Angola,2017,5.1,11.8
Antigua and Barbuda,2017,9.2,13.2
Arab World,2017,0.0,0.0
Argentina,2017,9.9,17.4
Armenia,2017,11.7,13.0
Aruba,2017,0.0,0.0
Australia,2017,12.9,22.9
Austria,2017,12.1,16.1
Azerbaijan,2017,10.7,12.7
Bahamas,2017,11.1,12.8
Bahrain,2017,9.4,16.0
Bangladesh,2017,5.8,11.4
Barbados,2017,10.6,15.3
Belarus,2017,12.3,15.5
Belgium,2017,11.8,19.8
Belize,2017,10.5,12.8
Benin,2017,3.6,12.6
Bermuda,2017,0.0,0.0
Bhutan,2017,3.1,12.3
Bolivia,2017,8.9,14.0
Bosnia and Herzegovina,2017,9.7,14.2
Botswana,2017,9.3,12.6
Brazil,2017,7.8,15.4
British Virgin Islands,2017,0.0,0.0
Brunei,2017,9.1,14.5
Bulgaria,2017,11.8,14.8
Burkina Faso,2017,1.5,8.5
Burundi,2017,3.0,11.7
Cambodia,2017,4.8,11.7
Cameroon,2017,6.3,12.2
Canada,2017,13.3,16.4
Cape Verde,2017,6.1,12.6
Caribbean small states,2017,0.0,0.0
Cayman Islands,2017,0.0,0.0
Central African Republic,2017,4.3,7.2
Central Europe and the Baltics,2017,0.0,0.0
Chad,2017,2.3,8.0
Channel Islands,2017,0.0,0.0
Chile,2017,10.3,16.4
China,2017,7.8,13.8
Colombia,2017,8.3,14.4
Comoros,2017,4.8,11.2
Congo,2017,6.3,11.4
Costa Rica,2017,8.8,15.4
Cote d'Ivoire,2017,5.2,9.0
Croatia,2017,11.3,15.0
Cuba,2017,11.8,14.0
Curacao,2017,0.0,0.0
Cyprus,2017,12.1,14.6
Czech Republic,2017,12.7,16.9
Democratic Republic of Congo,2017,6.8,9.8
Denmark,2017,12.6,19.1
Djibouti,2017,4.1,6.2
Dominica,2017,7.8,12.7
Dominican Republic,2017,7.8,13.7
Early-demographic dividend,2017,0.0,0.0
East Asia & Pacific,2017,0.0,0.0
East Asia & Pacific (IDA & IBRD),2017,0.0,0.0
East Asia & Pacific (excluding high income),2017,0.0,0.0
Ecuador,2017,8.7,14.7
Egypt,2017,7.2,13.1
El Salvador,2017,6.9,12.6
Equatorial Guinea,2017,5.5,9.3
Eritrea,2017,4.0,5.4
Estonia,2017,12.7,16.1
Ethiopia,2017,2.7,8.5
Euro area,2017,0.0,0.0
Europe & Central Asia,2017,0.0,0.0
