Entity,Year,Average years of schooling (years),Expected Years of Schooling (years)
Afghanistan,2012,3.4,10.0
Albania,2012,9.6,14.7
Algeria,2012,7.6,14.3
American Samoa,2012,0.0,0.0
Andorra,2012,10.2,13.5
Angola,2012,4.8,9.9
Antigua and Barbuda,2012,9.2,12.8
Arab World,2012,0.0,0.0
Argentina,2012,9.8,17.2
Armenia,2012,11.3,13.0
Aruba,2012,0.0,0.0
Australia,2012,12.6,20.3
Austria,2012,11.8,16.1
Azerbaijan,2012,10.7,11.9
Bahamas,2012,11.1,12.8
Bahrain,2012,8.8,13.4
Bangladesh,2012,5.1,10.2
Barbados,2012,10.5,15.4
Belarus,2012,12.0,15.7
Belgium,2012,11.2,19.2
Belize,2012,10.5,12.9
Benin,2012,3.0,12.0
Bermuda,2012,0.0,0.0
Bhutan,2012,2.5,12.3
Bolivia,2012,8.3,13.8
Bosnia and Herzegovina,2012,8.3,14.2
Botswana,2012,9.0,12.6
Brazil,2012,7.3,13.9
British Virgin Islands,2012,0.0,0.0
Brunei,2012,8.9,14.9
Bulgaria,2012,10.8,14.5
Burkina Faso,2012,1.4,7.5
Burundi,2012,2.7,11.1
Cambodia,2012,4.5,11.4
Cameroon,2012,5.7,11.5
Canada,2012,12.8,15.9
Cape Verde,2012,5.4,12.3
Caribbean small states,2012,0.0,0.0
Cayman Islands,2012,0.0,0.0
Central African Republic,2012,3.8,7.0
Central Europe and the Baltics,2012,0.0,0.0
Chad,2012,2.1,7.5
Channel Islands,2012,0.0,0.0
Chile,2012,9.9,15.4
China,2012,7.5,13.3
Colombia,2012,7.6,14.1
Comoros,2012,4.6,10.9
Congo,2012,6.2,10.6
Costa Rica,2012,8.5,14.4
Cote d'Ivoire,2012,4.5,8.7
Croatia,2012,11.0,14.8
Cuba,2012,10.8,14.8
Curacao,2012,0.0,0.0
Cyprus,2012,11.8,13.8
Czech Republic,2012,12.4,16.1
Democratic Republic of Congo,2012,5.8,9.0
Denmark,2012,12.8,18.7
Djibouti,2012,4.0,6.1
Dominica,2012,7.9,12.7
Dominican Republic,2012,7.5,13.2
Early-demographic dividend,2012,0.0,0.0
East Asia & Pacific,2012,0.0,0.0
East Asia & Pacific (IDA & IBRD),2012,0.0,0.0
East Asia & Pacific (excluding high income),2012,0.0,0.0
Ecuador,2012,8.1,13.4
Egypt,2012,6.8,12.4
El Salvador,2012,6.7,12.7
Equatorial Guinea,2012,5.5,9.2
Eritrea,2012,3.9,5.1
Estonia,2012,12.5,16.5
Ethiopia,2012,2.4,8.4
Euro area,2012,0.0,0.0
Europe & Central Asia,2012,0.0,0.0
Europe & Central Asia (IDA & IBRD),2012,0.0,0.0
Europe & Central Asia (excluding high income),2012,0.0,0.0
European Union,2012,0.0,0.0
Faeroe Islands,2012,0.0,0.0
Fiji,2012,10.1,15.0
Finland,2012,12.4,17.0
Fragile and conflict affected situations,2012,0.0,0.0
France,2012,11.0,16.2
French Polynesia,2012,0.0,0.0
Gabon,2012,7.8,12.5
Gambia,2012,3.1,8.9
Georgia,2012,12.5,13.5
Germany,2012,14.0,16.9
Ghana,2012,6.8,11.3
Gibraltar,2012,0.0,0.0
Greece,2012,10.3,16.6
Greenland,2012,0.0,0.0
Grenada,2012,8.4,16.2
Guam,2012,0.0,0.0
Guatemala,2012,4.6,10.7
Guinea,2012,2.4,8.7
Guinea-Bissau,2012,2.8,10.3
Guyana,2012,8.3,11.4
Haiti,2012,4.9,8.9
Heavily indebted poor countries (HIPC),2012,0.0,0.0
High income,2012,0.0,0.0
Honduras,2012,5.5,10.4
Hong Kong,2012,11.6,15.8
Hungary,2012,12.2,15.2
IBRD only,2012,0.0,0.0
IDA & IBRD total,2012,0.0,0.0
IDA blend,2012,0.0,0.0
IDA only,2012,0.0,0.0
IDA total,2012,0.0,0.0
Iceland,2012,11.5,18.8
India,2012,5.6,11.5
Indonesia,2012,7.6,12.8
Iran,2012,9.5,14.9
Iraq,2012,6.6,10.3
Ireland,2012,11.3,18.5
Isle of Man,2012,0.0,0.0
Israel,2012,12.8,15.9
Italy,2012,9.9,16.5
Jamaica,2012,9.2,12.9
Japan,2012,12.0,15.2
Jordan,2012,9.9,12.8
Kazakhstan,2012,11.5,15.0
Kenya,2012,6.2,11.1
Kiribati,2012,7.9,12.8
Kosovo,2012,0.0,0.0
Kuwait,2012,7.2,13.1
Kyrgyzstan,2012,10.7,12.7
Laos,2012,5.0,10.5
Late-demographic dividend,2012,0.0,0.0
Latin America & Caribbean,2012,0.0,0.0
Latin America & Caribbean (IDA & IBRD),2012,0.0,0.0
Latin America & Caribbean (excluding high income),2012,0.0,0.0
Latvia,2012,12.6,15.2
Least developed countries: UN classification,2012,0.0,0.0
Lebanon,2012,8.1,12.5
Lesotho,2012,5.9,11.1
Liberia,2012,4.3,9.8
Libya,2012,7.3,13.4
Liechtenstein,2012,12.3,15.0
Lithuania,2012,11.7,16.3
Low & middle income,2012,0.0,0.0
