Entity,Code,Year,Average total years of schooling for adult population (years)
Afghanistan,AFG,2011,3.3
Albania,ALB,2011,9.3
Algeria,DZA,2011,7.4
Andorra,AND,2011,10.2
Angola,AGO,2011,4.7
Antigua and Barbuda,ATG,2011,9.2
Argentina,ARG,2011,9.8
Armenia,ARM,2011,11.2
Australia,AUS,2011,12.5
Austria,AUT,2011,11.8
Azerbaijan,AZE,2011,10.7
Bahamas,BHS,2011,11.0
Bahrain,BHR,2011,8.6
Bangladesh,BGD,2011,5.1
Barbados,BRB,2011,9.9
Belarus,BLR,2011,12.0
Belgium,BEL,2011,11.2
Belize,BLZ,2011,10.5
Benin,BEN,2011,2.8
Bhutan,BTN,2011,2.3
Bolivia,BOL,2011,8.0
Bosnia and Herzegovina,BIH,2011,7.2
Botswana,BWA,2011,8.9
Brazil,BRA,2011,7.1
Brunei,BRN,2011,8.8
Bulgaria,BGR,2011,10.7
Burkina Faso,BFA,2011,1.4
Burundi,BDI,2011,2.6
Cambodia,KHM,2011,4.4
Cameroon,CMR,2011,5.5
Canada,CAN,2011,12.7
Cape Verde,CPV,2011,5.3
Central African Republic,CAF,2011,3.7
Chad,TCD,2011,2.0
Chile,CHL,2011,9.8
China,CHN,2011,7.4
Colombia,COL,2011,7.5
Comoros,COM,2011,4.4
Congo,COG,2011,6.2
Costa Rica,CRI,2011,8.4
Cote d'Ivoire,CIV,2011,4.4
Croatia,HRV,2011,11.0
Cuba,CUB,2011,11.3
Cyprus,CYP,2011,11.6
Czech Republic,CZE,2011,12.5
Democratic Republic of Congo,COD,2011,5.6
Denmark,DNK,2011,12.7
Djibouti,DJI,2011,4.0
Dominica,DMA,2011,7.8
Dominican Republic,DOM,2011,7.4
Ecuador,ECU,2011,8.0
Egypt,EGY,2011,6.7
El Salvador,SLV,2011,6.5
Equatorial Guinea,GNQ,2011,5.5
Eritrea,ERI,2011,3.9
Estonia,EST,2011,12.5
Ethiopia,ETH,2011,2.4
Fiji,FJI,2011,9.8
Finland,FIN,2011,12.3
France,FRA,2011,10.9
Gabon,GAB,2011,7.7
Gambia,GMB,2011,2.9
Georgia,GEO,2011,12.2
Germany,DEU,2011,13.9
Ghana,GHA,2011,6.8
Greece,GRC,2011,10.3
Grenada,GRD,2011,8.4
Guatemala,GTM,2011,5.3
Guinea,GIN,2011,2.0
Guinea-Bissau,GNB,2011,2.7
Guyana,GUY,2011,8.2
Haiti,HTI,2011,4.8
Honduras,HND,2011,5.6
Hong Kong,HKG,2011,11.4
Hungary,HUN,2011,12.0
Iceland,ISL,2011,11.0
India,IND,2011,5.4
Indonesia,IDN,2011,7.6
Iran,IRN,2011,9.2
Iraq,IRQ,2011,6.6
Ireland,IRL,2011,10.9
Israel,ISR,2011,12.7
Italy,ITA,2011,9.8
Jamaica,JAM,2011,9.0
Japan,JPN,2011,11.8
Jordan,JOR,2011,9.9
Kazakhstan,KAZ,2011,11.5
Kenya,KEN,2011,6.2
Kiribati,KIR,2011,7.9
Kuwait,KWT,2011,7.0
Kyrgyzstan,KGZ,2011,10.6
Laos,LAO,2011,4.8
Latvia,LVA,2011,12.6
Lebanon,LBN,2011,8.0
Lesotho,LSO,2011,5.8
Liberia,LBR,2011,4.2
Libya,LBY,2011,7.3
Liechtenstein,LIE,2011,12.2
Lithuania,LTU,2011,11.8
Luxembourg,LUX,2011,11.8
Macedonia,MKD,2011,9.3
Madagascar,MDG,2011,6.1
Malawi,MWI,2011,4.3
Malaysia,MYS,2011,10.1
Maldives,MDV,2011,5.2
Mali,MLI,2011,2.0
Malta,MLT,2011,10.5
Marshall Islands,MHL,2011,10.8
Mauritania,MRT,2011,3.9
Mauritius,MUS,2011,8.5
Mexico,MEX,2011,8.4
Micronesia (country),FSM,2011,7.4
Moldova,MDA,2011,11.1
Mongolia,MNG,2011,9.8
Montenegro,MNE,2011,11.1
Morocco,MAR,2011,4.4
Mozambique,MOZ,2011,3.2
Myanmar,MMR,2011,4.3
Namibia,NAM,2011,6.3
Nepal,NPL,2011,3.3
Netherlands,NLD,2011,12.0
New Zealand,NZL,2011,12.0
Nicaragua,NIC,2011,6.1
Niger,NER,2011,1.5
Nigeria,NGA,2011,5.5
Norway,NOR,2011,12.8
Oman,OMN,2011,8.3
Pakistan,PAK,2011,4.8
Palau,PLW,2011,12.2
Palestine,PSE,2011,8.7
Panama,PAN,2011,9.3
Papua New Guinea,PNG,2011,4.1
Paraguay,PRY,2011,7.8
Peru,PER,2011,9.1
Philippines,PHL,2011,9.0
Poland,POL,2011,12.3
Portugal,PRT,2011,8.3
Qatar,QAT,2011,8.7
Romania,ROU,2011,10.8
Russia,RUS,2011,11.6
Rwanda,RWA,2011,3.8
Saint Kitts and Nevis,KNA,2011,8.0
Saint Lucia,LCA,2011,8.4
Saint Vincent and the Grenadines,VCT,2011,8.4
Samoa,WSM,2011,10.2
Sao Tome and Principe,STP,2011,5.0
Saudi Arabia,SAU,2011,9.1
Senegal,SEN,2011,2.4
Serbia,SRB,2011,10.6
Seychelles,SYC,2011,8.4
Sierra Leone,SLE,2011,3.1
Singapore,SGP,2011,11.2
Slovakia,SVK,2011,12.1
Slovenia,SVN,2011,12.2
Solomon Islands,SLB,2011,5.2
South Africa,ZAF,2011,9.9
South Korea,KOR,2011,11.8
South Sudan,SSD,2011,4.8
Spain,ESP,2011,9.5
Sri Lanka,LKA,2011,10.8
Sudan,SDN,2011,3.2
Suriname,SUR,2011,7.8
Swaziland,SWZ,2011,5.9
Sweden,SWE,2011,12.4
Switzerland,CHE,2011,13.3
Syria,SYR,2011,6.3
Tajikistan,TJK,2011,10.8
Tanzania,TZA,2011,5.1
Thailand,THA,2011,7.5
Timor,TLS,2011,4.5
Togo,TGO,2011,4.4
Tonga,TON,2011,10.9
Trinidad and Tobago,TTO,2011,10.8
Tunisia,TUN,2011,6.9
Turkey,TUR,2011,7.2
Turkmenistan,TKM,2011,9.9
Uganda,UGA,2011,5.4
Ukraine,UKR,2011,11.3
United Arab Emirates,ARE,2011,10.0
United Kingdom,GBR,2011,13.0
United States,USA,2011,13.3
Uruguay,URY,2011,8.4
Uzbekistan,UZB,2011,10.9
Vanuatu,VUT,2011,6.7
Venezuela,VEN,2011,9.8
Vietnam,VNM,2011,7.6
Yemen,YEM,2011,2.8
Zambia,ZMB,2011,6.7
Zimbabwe,ZWE,2011,7.3
