Entity,Code,Year, ((0-1; higher values are better))
Fiji,FJI,2013,0.727
Finland,FIN,2013,0.912
France,FRA,2013,0.889
Gabon,GAB,2013,0.687
Gambia,GMB,2013,0.45299999999999996
Georgia,GEO,2013,0.757
Germany,DEU,2013,0.9279999999999999
Ghana,GHA,2013,0.5770000000000001
Greece,GRC,2013,0.856
Grenada,GRD,2013,0.754
Guatemala,GTM,2013,0.616
Guinea,GIN,2013,0.435
Guinea-Bissau,GNB,2013,0.44
Guyana,GUY,2013,0.645
Haiti,HTI,2013,0.486
Honduras,HND,2013,0.6
Hong Kong,HKG,2013,0.915
Hungary,HUN,2013,0.835
Iceland,ISL,2013,0.92
India,IND,2013,0.607
Indonesia,IDN,2013,0.6809999999999999
Iran,IRN,2013,0.784
Iraq,IRQ,2013,0.6659999999999999
Ireland,IRL,2013,0.9109999999999999
Israel,ISR,2013,0.895
Italy,ITA,2013,0.8759999999999999
Jamaica,JAM,2013,0.726
Japan,JPN,2013,0.899
Jordan,JOR,2013,0.727
Kazakhstan,KAZ,2013,0.7879999999999999
Kenya,KEN,2013,0.5660000000000001
Kiribati,KIR,2013,0.609
Korea,0,2013,0.893
Kuwait,KWT,2013,0.795
Kyrgyzstan,KGZ,2013,0.6579999999999999
Laos,LAO,2013,0.579
Latvia,LVA,2013,0.833
Lebanon,LBN,2013,0.7509999999999999
Lesotho,LSO,2013,0.505
Liberia,LBR,2013,0.429
Libya,LBY,2013,0.7070000000000001
Liechtenstein,LIE,2013,0.912
Lithuania,LTU,2013,0.836
Luxembourg,LUX,2013,0.892
Macedonia,MKD,2013,0.743
Madagascar,MDG,2013,0.509
Malawi,MWI,2013,0.461
Malaysia,MYS,2013,0.785
Maldives,MDV,2013,0.696
Mali,MLI,2013,0.408
Malta,MLT,2013,0.856
Mauritania,MRT,2013,0.508
Mauritius,MUS,2013,0.772
Mexico,MEX,2013,0.7559999999999999
Micronesia (country),FSM,2013,0.619
Moldova,MDA,2013,0.693
Mongolia,MNG,2013,0.7290000000000001
Montenegro,MNE,2013,0.8029999999999999
Morocco,MAR,2013,0.645
Mozambique,MOZ,2013,0.423
Myanmar,MMR,2013,0.5579999999999999
Namibia,NAM,2013,0.628
Nepal,NPL,2013,0.5539999999999999
Netherlands,NLD,2013,0.9229999999999999
New Zealand,NZL,2013,0.907
Nicaragua,NIC,2013,0.639
Niger,NER,2013,0.34
Nigeria,NGA,2013,0.519
Norway,NOR,2013,0.946
Oman,OMN,2013,0.812
Pakistan,PAK,2013,0.5379999999999999
Palau,PLW,2013,0.78
Palestine,PSE,2013,0.679
Panama,PAN,2013,0.7759999999999999
Papua New Guinea,PNG,2013,0.534
Paraguay,PRY,2013,0.695
Peru,PER,2013,0.736
Philippines,PHL,2013,0.685
Poland,POL,2013,0.85
Portugal,PRT,2013,0.8370000000000001
Qatar,QAT,2013,0.8540000000000001
Romania,ROU,2013,0.8
Russia,RUS,2013,0.804
Rwanda,RWA,2013,0.503
Saint Kitts and Nevis,KNA,2013,0.763
Saint Lucia,LCA,2013,0.733
Saint Vincent and the Grenadines,VCT,2013,0.721
Samoa,WSM,2013,0.7
Sao Tome and Principe,STP,2013,0.56
Saudi Arabia,SAU,2013,0.8440000000000001
Senegal,SEN,2013,0.48100000000000004
Serbia,SRB,2013,0.7709999999999999
Seychelles,SYC,2013,0.779
Sierra Leone,SLE,2013,0.419
Singapore,SGP,2013,0.9229999999999999
Slovakia,SVK,2013,0.8440000000000001
Slovenia,SVN,2013,0.885
Solomon Islands,SLB,2013,0.539
South Africa,ZAF,2013,0.675
South Korea,KOR,2013,0.893
South Sudan,SSD,2013,0.392
Spain,ESP,2013,0.875
Sri Lanka,LKA,2013,0.759
Sudan,SDN,2013,0.475
Suriname,SUR,2013,0.715
Swaziland,SWZ,2013,0.5720000000000001
Sweden,SWE,2013,0.912
Switzerland,CHE,2013,0.938
Syria,SYR,2013,0.5720000000000001
Tajikistan,TJK,2013,0.6459999999999999
Tanzania,TZA,2013,0.507
Thailand,THA,2013,0.728
Timor,TLS,2013,0.614
Togo,TGO,2013,0.47200000000000003
Tonga,TON,2013,0.716
Trinidad and Tobago,TTO,2013,0.779
Tunisia,TUN,2013,0.723
Turkey,TUR,2013,0.7709999999999999
Turkmenistan,TKM,2013,0.6920000000000001
Uganda,UGA,2013,0.496
Ukraine,UKR,2013,0.745
United Arab Emirates,ARE,2013,0.851
United Kingdom,GBR,2013,0.915
United States,USA,2013,0.9159999999999999
Uruguay,URY,2013,0.797
Uzbekistan,UZB,2013,0.69
Vanuatu,VUT,2013,0.597
Venezuela,VEN,2013,0.7759999999999999
Vietnam,VNM,2013,0.675
Yemen,YEM,2013,0.507
Zambia,ZMB,2013,0.574
Zimbabwe,ZWE,2013,0.516
