Entity,Year,Average years of schooling (years),Expected Years of Schooling (years)
Afghanistan,2015,3.6,10.4
Albania,2015,9.7,14.8
Algeria,2015,7.9,14.3
American Samoa,2015,0.0,0.0
Andorra,2015,10.2,13.5
Angola,2015,5.0,11.0
Antigua and Barbuda,2015,9.2,13.3
Arab World,2015,0.0,0.0
Argentina,2015,9.8,17.4
Armenia,2015,11.6,13.0
Aruba,2015,0.0,0.0
Australia,2015,12.8,23.3
Austria,2015,12.1,15.9
Azerbaijan,2015,10.7,12.7
Bahamas,2015,11.1,12.8
Bahrain,2015,9.3,14.8
Bangladesh,2015,5.2,11.3
Barbados,2015,10.5,15.3
Belarus,2015,12.2,15.5
Belgium,2015,11.7,19.8
Belize,2015,10.5,12.8
Benin,2015,3.5,12.6
Bermuda,2015,0.0,0.0
Bhutan,2015,3.1,12.2
Bolivia,2015,8.7,13.8
Bosnia and Herzegovina,2015,9.0,14.2
Botswana,2015,9.2,12.6
Brazil,2015,7.6,15.4
British Virgin Islands,2015,0.0,0.0
Brunei,2015,9.0,14.5
Bulgaria,2015,11.8,15.1
Burkina Faso,2015,1.4,8.3
Burundi,2015,2.9,11.7
Cambodia,2015,4.7,11.7
Cameroon,2015,6.1,12.2
Canada,2015,13.1,16.3
Cape Verde,2015,5.9,12.6
Caribbean small states,2015,0.0,0.0
Cayman Islands,2015,0.0,0.0
Central African Republic,2015,4.2,7.1
Central Europe and the Baltics,2015,0.0,0.0
Chad,2015,2.3,8.0
Channel Islands,2015,0.0,0.0
Chile,2015,10.3,16.3
China,2015,7.7,13.8
Colombia,2015,8.1,14.4
Comoros,2015,4.8,11.2
Congo,2015,6.3,11.2
Costa Rica,2015,8.8,15.1
Cote d'Ivoire,2015,5.0,8.8
Croatia,2015,11.2,15.1
Cuba,2015,11.4,14.0
Curacao,2015,0.0,0.0
Cyprus,2015,11.9,14.3
Czech Republic,2015,12.7,16.9
Democratic Republic of Congo,2015,6.4,9.6
Denmark,2015,12.5,19.2
Djibouti,2015,4.1,6.2
Dominica,2015,7.9,12.8
Dominican Republic,2015,7.8,13.8
Early-demographic dividend,2015,0.0,0.0
East Asia & Pacific,2015,0.0,0.0
East Asia & Pacific (IDA & IBRD),2015,0.0,0.0
East Asia & Pacific (excluding high income),2015,0.0,0.0
Ecuador,2015,8.4,14.3
Egypt,2015,7.1,13.1
El Salvador,2015,6.6,12.6
Equatorial Guinea,2015,5.5,9.2
Eritrea,2015,3.9,5.4
Estonia,2015,12.7,16.1
Ethiopia,2015,2.6,8.5
Euro area,2015,0.0,0.0
Europe & Central Asia,2015,0.0,0.0
Europe & Central Asia (IDA & IBRD),2015,0.0,0.0
Europe & Central Asia (excluding high income),2015,0.0,0.0
European Union,2015,0.0,0.0
