Entity,Year,Average years of schooling (years),Expected Years of Schooling (years)
Afghanistan,2013,3.5,10.2
Albania,2013,9.7,14.8
Algeria,2013,7.8,14.3
American Samoa,2013,0.0,0.0
Andorra,2013,10.2,13.5
Angola,2013,4.9,10.3
Antigua and Barbuda,2013,9.2,13.0
Arab World,2013,0.0,0.0
Argentina,2013,9.8,17.1
Armenia,2013,11.4,13.0
Aruba,2013,0.0,0.0
Australia,2013,12.6,20.4
Austria,2013,11.9,15.8
Azerbaijan,2013,10.8,12.2
Bahamas,2013,11.1,12.8
Bahrain,2013,9.0,13.5
Bangladesh,2013,5.1,10.6
Barbados,2013,10.5,15.4
Belarus,2013,12.0,15.6
Belgium,2013,11.4,19.4
Belize,2013,10.5,12.8
Benin,2013,3.2,12.6
Bermuda,2013,0.0,0.0
Bhutan,2013,2.8,12.1
Bolivia,2013,8.4,13.8
Bosnia and Herzegovina,2013,8.7,14.2
Botswana,2013,9.1,12.6
Brazil,2013,7.4,14.8
British Virgin Islands,2013,0.0,0.0
Brunei,2013,8.9,14.9
Bulgaria,2013,10.9,14.9
Burkina Faso,2013,1.4,7.7
Burundi,2013,2.8,11.4
Cambodia,2013,4.6,11.6
Cameroon,2013,5.9,11.9
Canada,2013,12.9,15.9
Cape Verde,2013,5.6,12.6
Caribbean small states,2013,0.0,0.0
Cayman Islands,2013,0.0,0.0
Central African Republic,2013,4.0,7.1
Central Europe and the Baltics,2013,0.0,0.0
Chad,2013,2.1,7.7
Channel Islands,2013,0.0,0.0
Chile,2013,9.9,16.0
China,2013,7.5,13.5
Colombia,2013,7.8,14.5
Comoros,2013,4.7,11.2
Congo,2013,6.3,10.8
Costa Rica,2013,8.5,14.6
Cote d'Ivoire,2013,4.7,8.8
Croatia,2013,11.0,15.1
Cuba,2013,11.0,14.1
Curacao,2013,0.0,0.0
Cyprus,2013,12.0,14.0
Czech Republic,2013,12.6,16.6
Democratic Republic of Congo,2013,6.0,9.2
Denmark,2013,13.2,19.1
Djibouti,2013,4.0,6.2
Dominica,2013,7.9,12.7
Dominican Republic,2013,7.6,13.2
Early-demographic dividend,2013,0.0,0.0
East Asia & Pacific,2013,0.0,0.0
East Asia & Pacific (IDA & IBRD),2013,0.0,0.0
East Asia & Pacific (excluding high income),2013,0.0,0.0
Ecuador,2013,8.3,13.7
Egypt,2013,6.9,12.7
El Salvador,2013,6.6,12.8
Equatorial Guinea,2013,5.5,9.2
Eritrea,2013,3.9,5.2
Estonia,2013,12.6,16.4
Ethiopia,2013,2.5,8.5
Euro area,2013,0.0,0.0
Europe & Central Asia,2013,0.0,0.0
Europe & Central Asia (IDA & IBRD),2013,0.0,0.0
Europe & Central Asia (excluding high income),2013,0.0,0.0
European Union,2013,0.0,0.0
Faeroe Islands,2013,0.0,0.0
Fiji,2013,10.3,15.2
Finland,2013,12.3,17.6
Fragile and conflict affected situations,2013,0.0,0.0
France,2013,11.2,16.2
French Polynesia,2013,0.0,0.0
Gabon,2013,8.1,12.6
Gambia,2013,3.2,9.2
Georgia,2013,12.6,13.9
Germany,2013,14.0,16.8
Ghana,2013,6.9,11.5
Gibraltar,2013,0.0,0.0
Greece,2013,10.4,16.7
Greenland,2013,0.0,0.0
Grenada,2013,8.5,16.4
Guam,2013,0.0,0.0
Guatemala,2013,4.7,10.6
Guinea,2013,2.6,8.9
Guinea-Bissau,2013,2.8,10.4
Guyana,2013,8.3,11.4
Haiti,2013,5.0,9.0
Heavily indebted poor countries (HIPC),2013,0.0,0.0
High income,2013,0.0,0.0
Honduras,2013,5.8,10.2
Hong Kong,2013,11.6,16.0
Hungary,2013,12.0,15.6
