Entity,Code,Year,Average total years of schooling for adult population (years)
Afghanistan,AFG,2017,3.8
Albania,ALB,2017,10.0
Algeria,DZA,2017,8.0
Andorra,AND,2017,10.2
Angola,AGO,2017,5.1
Antigua and Barbuda,ATG,2017,9.2
Argentina,ARG,2017,9.9
Armenia,ARM,2017,11.7
Australia,AUS,2017,12.9
Austria,AUT,2017,12.1
Azerbaijan,AZE,2017,10.7
Bahamas,BHS,2017,11.1
Bahrain,BHR,2017,9.4
Bangladesh,BGD,2017,5.8
Barbados,BRB,2017,10.6
Belarus,BLR,2017,12.3
Belgium,BEL,2017,11.8
Belize,BLZ,2017,10.5
Benin,BEN,2017,3.6
Bhutan,BTN,2017,3.1
Bolivia,BOL,2017,8.9
Bosnia and Herzegovina,BIH,2017,9.7
Botswana,BWA,2017,9.3
Brazil,BRA,2017,7.8
Brunei,BRN,2017,9.1
Bulgaria,BGR,2017,11.8
Burkina Faso,BFA,2017,1.5
Burundi,BDI,2017,3.0
Cambodia,KHM,2017,4.8
Cameroon,CMR,2017,6.3
Canada,CAN,2017,13.3
Cape Verde,CPV,2017,6.1
Central African Republic,CAF,2017,4.3
Chad,TCD,2017,2.3
Chile,CHL,2017,10.3
China,CHN,2017,7.8
Colombia,COL,2017,8.3
Comoros,COM,2017,4.8
Congo,COG,2017,6.3
Costa Rica,CRI,2017,8.8
Cote d'Ivoire,CIV,2017,5.2
Croatia,HRV,2017,11.3
Cuba,CUB,2017,11.8
Cyprus,CYP,2017,12.1
Czech Republic,CZE,2017,12.7
Democratic Republic of Congo,COD,2017,6.8
Denmark,DNK,2017,12.6
Djibouti,DJI,2017,4.1
Dominica,DMA,2017,7.8
Dominican Republic,DOM,2017,7.8
Ecuador,ECU,2017,8.7
Egypt,EGY,2017,7.2
El Salvador,SLV,2017,6.9
Equatorial Guinea,GNQ,2017,5.5
Eritrea,ERI,2017,4.0
Estonia,EST,2017,12.7
Ethiopia,ETH,2017,2.7
Fiji,FJI,2017,10.8
Finland,FIN,2017,12.4
France,FRA,2017,11.5
Gabon,GAB,2017,8.2
Gambia,GMB,2017,3.5
Georgia,GEO,2017,12.8
Germany,DEU,2017,14.1
Ghana,GHA,2017,7.1
Greece,GRC,2017,10.8
Grenada,GRD,2017,8.7
Guatemala,GTM,2017,6.5
Guinea,GIN,2017,2.6
Guinea-Bissau,GNB,2017,3.0
Guyana,GUY,2017,8.4
Haiti,HTI,2017,5.3
Honduras,HND,2017,6.5
Hong Kong,HKG,2017,12.0
Hungary,HUN,2017,11.9
Iceland,ISL,2017,12.4
India,IND,2017,6.4
Indonesia,IDN,2017,8.0
Iran,IRN,2017,9.8
Iraq,IRQ,2017,6.8
Ireland,IRL,2017,12.5
Israel,ISR,2017,13.0
Italy,ITA,2017,10.2
Jamaica,JAM,2017,9.8
Japan,JPN,2017,12.8
Jordan,JOR,2017,10.4
Kazakhstan,KAZ,2017,11.8
Kenya,KEN,2017,6.5
Kiribati,KIR,2017,7.9
Kuwait,KWT,2017,7.3
Kyrgyzstan,KGZ,2017,10.9
Laos,LAO,2017,5.2
Latvia,LVA,2017,12.8
Lebanon,LBN,2017,8.7
Lesotho,LSO,2017,6.3
Liberia,LBR,2017,4.7
Libya,LBY,2017,7.3
Liechtenstein,LIE,2017,12.5
Lithuania,LTU,2017,13.0
Luxembourg,LUX,2017,12.1
Macedonia,MKD,2017,9.6
Madagascar,MDG,2017,6.1
Malawi,MWI,2017,4.5
Malaysia,MYS,2017,10.2
Maldives,MDV,2017,6.3
Mali,MLI,2017,2.3
Malta,MLT,2017,11.3
Marshall Islands,MHL,2017,10.9
Mauritania,MRT,2017,4.5
Mauritius,MUS,2017,9.3
Mexico,MEX,2017,8.6
Micronesia (country),FSM,2017,8.0
Moldova,MDA,2017,11.6
Mongolia,MNG,2017,10.1
Montenegro,MNE,2017,11.3
Morocco,MAR,2017,5.5
Mozambique,MOZ,2017,3.5
Myanmar,MMR,2017,4.9
Namibia,NAM,2017,6.8
Nepal,NPL,2017,4.9
Netherlands,NLD,2017,12.2
New Zealand,NZL,2017,12.5
Nicaragua,NIC,2017,6.7
Niger,NER,2017,2.0
Nigeria,NGA,2017,6.2
Norway,NOR,2017,12.6
Oman,OMN,2017,9.5
Pakistan,PAK,2017,5.2
Palau,PLW,2017,12.3
Palestine,PSE,2017,9.1
Panama,PAN,2017,10.2
Papua New Guinea,PNG,2017,4.6
Paraguay,PRY,2017,8.4
Peru,PER,2017,9.2
Philippines,PHL,2017,9.3
Poland,POL,2017,12.3
Portugal,PRT,2017,9.2
Qatar,QAT,2017,9.8
Romania,ROU,2017,11.0
Russia,RUS,2017,12.0
Rwanda,RWA,2017,4.1
Saint Kitts and Nevis,KNA,2017,8.4
Saint Lucia,LCA,2017,8.9
Saint Vincent and the Grenadines,VCT,2017,8.6
Samoa,WSM,2017,10.3
